Trait_code	Trait_name	Domain	ChapterLevel	SubchapterLevel	OriginalFileName	EvonneFileName
680_1	Own or rent accommodation lived in: Own outright (by you or someone in your household)	Activities	Domestic Life	Acquisition of Necessities	680_1.ldsc.imputed_v3.both_sexes.tsv.bgz	Own_or_rent_accommodation_lived_in:_Own_outright_by_you_or_someone_in_your_household.680_1.bgz
680_3	Own or rent accommodation lived in: Rent - from local authority, local council, housing association	Activities	Domestic Life	Acquisition of Necessities	680_3.ldsc.imputed_v3.both_sexes.tsv.bgz	Own_or_rent_accommodation_lived_in:_Rent_-_from_local_authority,_local_council,_housing_association.680_3.bgz
699_irnt	Length of time at current address	Activities	Domestic Life	Unspecified	699_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Length_of_time_at_current_address.699_irnt.bgz
728	Number of vehicles in household	Environment	Products and Technology	Assets	728.ldsc.imputed_v3.both_sexes.tsv.bgz	Number_of_vehicles_in_household.728.bgz
78_irnt	Heel bone mineral density (BMD) T-score, automated	Skeletal	Structures Related to Movement	Structures related to movement, unspecified	78_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Heel_bone_mineral_density_BMD_T-score,_automated.78_irnt.bgz
806	Job involves mainly walking or standing	Environment	Major Life Areas	Work and Employment	806.ldsc.imputed_v3.both_sexes.tsv.bgz	Job_involves_mainly_walking_or_standing.806.bgz
816	Job involves heavy manual or physical work	Environment	Major Life Areas	Work and Employment	816.ldsc.imputed_v3.both_sexes.tsv.bgz	Job_involves_heavy_manual_or_physical_work.816.bgz
826	Job involves shift work	Environment	Major Life Areas	Work and Employment	826.ldsc.imputed_v3.both_sexes.tsv.bgz	Job_involves_shift_work.826.bgz
845	Age completed full time education	Environment	Major Life Areas	Education	845.ldsc.imputed_v3.both_sexes.tsv.bgz	Age_completed_full_time_education.845.bgz
864	Number of days/week walked 10+ minutes	Activities	Self-Care	Looking After One's Health	864.ldsc.imputed_v3.both_sexes.tsv.bgz	Number_of_daysweek_walked_10+_minutes.864.bgz
874_irnt	Duration of walks	Activities	Self-Care	Looking After One's Health	874_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Duration_of_walks.874_irnt.bgz
884	Number of days/week of moderate physical activity 10+ minutes	Activities	Self-Care	Looking After One's Health	884.ldsc.imputed_v3.both_sexes.tsv.bgz	Number_of_daysweek_of_moderate_physical_activity_10+_minutes.884.bgz
894	Duration of moderate activity	Activities	Self-Care	Looking After One's Health	894.ldsc.imputed_v3.both_sexes.tsv.bgz	Duration_of_moderate_activity.894.bgz
904	Number of days/week of vigorous physical activity 10+ minutes	Activities	Self-Care	Looking After One's Health	904.ldsc.imputed_v3.both_sexes.tsv.bgz	Number_of_daysweek_of_vigorous_physical_activity_10+_minutes.904.bgz
914_irnt	Duration of vigorous activity	Activities	Self-Care	Looking After One's Health	914_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Duration_of_vigorous_activity.914_irnt.bgz
924	Usual walking pace	Activities	Self-Care	Looking After One's Health	924.ldsc.imputed_v3.both_sexes.tsv.bgz	Usual_walking_pace.924.bgz
G6_NERPLEX	Nerve, nerve root and plexus disorders	Neurological	Diseases of the Nervous System		G6_NERPLEX.ldsc.imputed_v3.both_sexes.tsv.bgz	Nerve,_nerve_root_and_plexus_disorders.G6_NERPLEX.bgz
H7_LENS	Disorders of lens	Ophthalmological	Diseases of the Eye and Adnexa	Disorders of Lens	H7_LENS.ldsc.imputed_v3.both_sexes.tsv.bgz	Disorders_of_lens.H7_LENS.bgz
I9_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	Immunological	Diseases of the Blood and Blood-forming Organs and Certain Disorders Involving the Immune Mechanism		I9_DISVEINLYMPH.ldsc.imputed_v3.both_sexes.tsv.bgz	Diseases_of_veins,_lymphatic_vessels_and_lymph_nodes,_not_elsewhere_classified.I9_DISVEINLYMPH.bgz
I9_IHD	Ischaemic heart disease, wide definition	Cardiovascular	Diseases of the Circulatory System	Chronic Ischaemic Heart Disease	I9_IHD.ldsc.imputed_v3.both_sexes.tsv.bgz	Ischaemic_heart_disease,_wide_definition.I9_IHD.bgz
ICDMAIN_ANY_ENTRY	Any ICDMAIN event in hilmo or causes of death	Mortality	Mortality	All-Cause Mortality	ICDMAIN_ANY_ENTRY.ldsc.imputed_v3.both_sexes.tsv.bgz	Any_ICDMAIN_event_in_hilmo_or_causes_of_death.ICDMAIN_ANY_ENTRY.bgz
IX_CIRCULATORY	Diseases of the circulatory system	Cardiovascular	Diseases of the Circulatory System		IX_CIRCULATORY.ldsc.imputed_v3.both_sexes.tsv.bgz	Diseases_of_the_circulatory_system.IX_CIRCULATORY.bgz
K11_GALLBILPANC	Disorders of gallbladder, biliary tract and pancreas	Gastrointestinal	Diseases of the Digestive System	Disorders of Gallbladder, Biliary Tract and Pancreas	K11_GALLBILPANC.ldsc.imputed_v3.both_sexes.tsv.bgz	Disorders_of_gallbladder,_biliary_tract_and_pancreas.K11_GALLBILPANC.bgz
K57	Diagnoses - main ICD10: K57 Diverticular disease of intestine	Gastrointestinal	Diseases of the Digestive System	Diverticular Disease of Intestine	K57.ldsc.imputed_v3.both_sexes.tsv.bgz	Diagnoses_-_main_ICD10:_K57_Diverticular_disease_of_intestine.K57.bgz
KNEE_ARTHROSIS	Gonarthrosis [arthrosis of knee](FG)	Skeletal	Diseases of the Musculoskeletal System and Connective Tissue	Gonarthrosis [Arthrosis of Knee]	KNEE_ARTHROSIS.ldsc.imputed_v3.both_sexes.tsv.bgz	Gonarthrosis_arthrosis_of_kneeFG.KNEE_ARTHROSIS.bgz
M13_ARTHROSIS	Arthrosis	Skeletal	Diseases of the Musculoskeletal System and Connective Tissue	Other Arthrosis	M13_ARTHROSIS.ldsc.imputed_v3.both_sexes.tsv.bgz	Arthrosis.M13_ARTHROSIS.bgz
M13_OTHERJOINT	Other joint disorders	Skeletal	Diseases of the Musculoskeletal System and Connective Tissue		M13_OTHERJOINT.ldsc.imputed_v3.both_sexes.tsv.bgz	Other_joint_disorders.M13_OTHERJOINT.bgz
M17	Diagnoses - main ICD10: M17 Gonarthrosis [arthrosis of knee]	Skeletal	Diseases of the Musculoskeletal System and Connective Tissue	Gonarthrosis [Arthrosis of Knee]	M17.ldsc.imputed_v3.both_sexes.tsv.bgz	Diagnoses_-_main_ICD10:_M17_Gonarthrosis_arthrosis_of_knee.M17.bgz
R07	Diagnoses - main ICD10: R07 Pain in throat and chest	Respiratory	Sensory Functions and Pain	Pain in Chest	R07.ldsc.imputed_v3.both_sexes.tsv.bgz	Diagnoses_-_main_ICD10:_R07_Pain_in_throat_and_chest.R07.bgz
VI_NERVOUS	Diseases of the nervous system	Neurological	Diseases of the Nervous System		VI_NERVOUS.ldsc.imputed_v3.both_sexes.tsv.bgz	Diseases_of_the_nervous_system.VI_NERVOUS.bgz
XI_DIGESTIVE	Diseases of the digestive system	Gastrointestinal	Diseases of the Digestive System		XI_DIGESTIVE.ldsc.imputed_v3.both_sexes.tsv.bgz	Diseases_of_the_digestive_system.XI_DIGESTIVE.bgz
XIII_MUSCULOSKELET	Diseases of the musculoskeletal system and connective tissue	Skeletal	Diseases of the Musculoskeletal System and Connective Tissue		XIII_MUSCULOSKELET.ldsc.imputed_v3.both_sexes.tsv.bgz	Diseases_of_the_musculoskeletal_system_and_connective_tissue.XIII_MUSCULOSKELET.bgz
XIX_INJURY_POISON	Injury, poisoning and certain other consequences of external causes	Body Structures	Injury, Poisoning and Certain Other Consequences of External Causes		XIX_INJURY_POISON.ldsc.imputed_v3.both_sexes.tsv.bgz	Injury,_poisoning_and_certain_other_consequences_of_external_causes.XIX_INJURY_POISON.bgz
XVIII_MISCFINDINGS	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	Mortality	Mortality	All-Cause Mortality	XVIII_MISCFINDINGS.ldsc.imputed_v3.both_sexes.tsv.bgz	Symptoms,_signs_and_abnormal_clinical_and_laboratory_findings,_not_elsewhere_classified.XVIII_MISCFINDINGS.bgz
